# Wavenumber, Intensity, Intensity Filtered at 125.00 cm width 35.00 order 2
1.464694999999999936e+03,1.113317499999999995e+02,1.134913802000226468e+02
1.465659000000000106e+03,1.112057499999999948e+02,1.130734616713881309e+02
1.466623000000000047e+03,1.111278750000000031e+02,1.126777703030553965e+02
1.467586999999999989e+03,1.111130832999999996e+02,1.123170209026593085e+02
1.468551999999999907e+03,1.111387500000000017e+02,1.119712035397232768e+02
1.469516000000000076e+03,1.111580000000000013e+02,1.116000453517693387e+02
1.470480000000000018e+03,1.111253332999999941e+02,1.111639245237448392e+02
1.471443999999999960e+03,1.110231667000000044e+02,1.106495053060379377e+02
1.472409000000000106e+03,1.108793749999999960e+02,1.100832295637219858e+02
1.473373000000000047e+03,1.107626666999999969e+02,1.095260696087072603e+02
1.474336999999999989e+03,1.107431250000000063e+02,1.090363481328962934e+02
1.475300999999999931e+03,1.108427917000000065e+02,1.086332742509598148e+02
1.476266000000000076e+03,1.110219582999999943e+02,1.082849451814571466e+02
1.477230000000000018e+03,1.112123332999999974e+02,1.079344707519290409e+02
1.478193999999999960e+03,1.113602082999999965e+02,1.075338195533343253e+02
1.479157999999999902e+03,1.114493750000000034e+02,1.070676354971938338e+02
1.480123000000000047e+03,1.115018749999999983e+02,1.065544696348853790e+02
1.481086999999999989e+03,1.115620416999999946e+02,1.060347215949051218e+02
1.482050999999999931e+03,1.116712500000000006e+02,1.055444220414096463e+02
1.483015000000000100e+03,1.118436250000000030e+02,1.050967537279092312e+02
1.483980000000000018e+03,1.120581667000000010e+02,1.046741851227304210e+02
1.484943999999999960e+03,1.122709167000000008e+02,1.042406684481464936e+02
1.485907999999999902e+03,1.124395417000000066e+02,1.037598566382184089e+02
1.486872000000000071e+03,1.125452917000000070e+02,1.032171155857041214e+02
1.487836999999999989e+03,1.126051666999999981e+02,1.026284373253472779e+02
1.488800999999999931e+03,1.126645000000000039e+02,1.020350932482070903e+02
1.489765000000000100e+03,1.127683332999999948e+02,1.014748423637762187e+02
1.490729000000000042e+03,1.129272083000000038e+02,1.009573199627930791e+02
1.491693999999999960e+03,1.131072082999999964e+02,1.004551316437179196e+02
1.492657999999999902e+03,1.132529167000000001e+02,9.992337614364052456e+01
1.493622000000000071e+03,1.133198749999999961e+02,9.932396475822658033e+01
1.494586000000000013e+03,1.132961667000000006e+02,9.864824268586650646e+01
1.495550999999999931e+03,1.132086666999999949e+02,9.792221355081662182e+01
1.496515000000000100e+03,1.131148749999999978e+02,9.720021897793127152e+01
1.497479000000000042e+03,1.130756250000000023e+02,9.653491935801973511e+01
1.498442999999999984e+03,1.131163332999999938e+02,9.594934388666656844e+01
1.499407999999999902e+03,1.132090833000000032e+02,9.542173274923626991e+01
1.500372000000000071e+03,1.132923750000000069e+02,9.490314295680627765e+01
1.501336000000000013e+03,1.133105000000000047e+02,9.434510159992977663e+01
1.502299999999999955e+03,1.132373750000000001e+02,9.372511423323405211e+01
1.503265000000000100e+03,1.130828333000000043e+02,9.305325658162193747e+01
1.504229000000000042e+03,1.128879167000000052e+02,9.237097656694854209e+01
1.505192999999999984e+03,1.127123749999999944e+02,9.173213228744397441e+01
1.506156999999999925e+03,1.126047499999999957e+02,9.117762220037076304e+01
1.507122000000000071e+03,1.125621249999999947e+02,9.070396458927439198e+01
1.508086000000000013e+03,1.125213332999999949e+02,9.026331314021533103e+01
1.509049999999999955e+03,1.124101667000000049e+02,8.979907809616331349e+01
1.510013999999999896e+03,1.122054167000000007e+02,8.929178399067232874e+01
1.510979000000000042e+03,1.119396667000000036e+02,8.876812766823699974e+01
1.511942999999999984e+03,1.116711250000000035e+02,8.828131656802580096e+01
1.512906999999999925e+03,1.114512083000000047e+02,8.787835621539909425e+01
1.513871000000000095e+03,1.113012082999999990e+02,8.757952996015585256e+01
1.514836000000000013e+03,1.112004582999999940e+02,8.736714435665038536e+01
1.515799999999999955e+03,1.110922082999999958e+02,8.719270632943390353e+01
1.516763999999999896e+03,1.109092916999999971e+02,8.699941161923092636e+01
1.517728000000000065e+03,1.106109167000000042e+02,8.675434246492949342e+01
1.518692999999999984e+03,1.102081249999999955e+02,8.646975725719558170e+01
1.519656999999999925e+03,1.097639999999999958e+02,8.620297279444133665e+01
1.520621000000000095e+03,1.093629166999999995e+02,8.602748458235194562e+01
1.521585000000000036e+03,1.090625416999999970e+02,8.599351381675437267e+01
1.522549999999999955e+03,1.088583749999999952e+02,8.609919736333537799e+01
1.523513999999999896e+03,1.086898750000000007e+02,8.629622823311217417e+01
1.524478000000000065e+03,1.084884167000000019e+02,8.652859272466517382e+01
1.525442000000000007e+03,1.082251250000000056e+02,8.677205896471888025e+01
1.526406999999999925e+03,1.079267083000000014e+02,8.704904036381226717e+01
1.527371000000000095e+03,1.076547500000000070e+02,8.741184644690721939e+01
1.528335000000000036e+03,1.074695832999999965e+02,8.791322166571201535e+01
1.529298999999999978e+03,1.073978333000000021e+02,8.857598617745415481e+01
1.530263999999999896e+03,1.074167082999999963e+02,8.938037754673399604e+01
1.531228000000000065e+03,1.074633749999999992e+02,9.026961138238341675e+01
1.532192000000000007e+03,1.074677499999999952e+02,9.118362939936955058e+01
1.533155999999999949e+03,1.073917083000000048e+02,9.208903895535220840e+01
1.534121000000000095e+03,1.072507499999999965e+02,9.299918100905073004e+01
1.535085000000000036e+03,1.071047082999999986e+02,9.396274871964577358e+01
1.536048999999999978e+03,1.070245833000000033e+02,9.504023764331945756e+01
1.537012999999999920e+03,1.070513332999999960e+02,9.626393151482355393e+01
1.537978000000000065e+03,1.071664583000000022e+02,9.761431093344735643e+01
1.538942000000000007e+03,1.072884583000000021e+02,9.901416000835615705e+01
1.539905999999999949e+03,1.073085832999999951e+02,1.003719290513132023e+02
1.540869999999999891e+03,1.071624166999999943e+02,1.016362212266936780e+02
1.541835000000000036e+03,1.068907499999999970e+02,1.028421997635819167e+02
1.542798999999999978e+03,1.066211250000000064e+02,1.040883963743548577e+02
1.543762999999999920e+03,1.064713332999999977e+02,1.054718237919430237e+02
1.544727000000000089e+03,1.064717916999999971e+02,1.070202178928246468e+02
1.545692000000000007e+03,1.065661666999999966e+02,1.086888218652563864e+02
1.546655999999999949e+03,1.066631249999999937e+02,1.103928201204118125e+02
1.547619999999999891e+03,1.066894166999999953e+02,1.120654863071334688e+02
1.548584000000000060e+03,1.066226249999999993e+02,1.136835138943545047e+02
1.549548999999999978e+03,1.065017083000000042e+02,1.152794896812526417e+02
1.550512999999999920e+03,1.064095417000000054e+02,1.169187425164950440e+02
1.551477000000000089e+03,1.064311667000000057e+02,1.186719722945084072e+02
1.552441000000000031e+03,1.066056250000000034e+02,1.205681955985278933e+02
1.553405999999999949e+03,1.069023750000000064e+02,1.225784747903454956e+02
1.554369999999999891e+03,1.072362499999999983e+02,1.246197458397759590e+02
1.555334000000000060e+03,1.075096249999999998e+02,1.266049621608010511e+02
1.556298000000000002e+03,1.076641666999999956e+02,1.284831492464020357e+02
1.557262999999999920e+03,1.077288333000000051e+02,1.302842308323955649e+02
1.558227000000000089e+03,1.078348332999999997e+02,1.321121917475211376e+02
1.559191000000000031e+03,1.081397082999999952e+02,1.340862946411377550e+02
1.560154999999999973e+03,1.086854582999999934e+02,1.362323971431319194e+02
1.561119999999999891e+03,1.093537500000000051e+02,1.384578838494081765e+02
1.562084000000000060e+03,1.099789166999999992e+02,1.406170306661443306e+02
1.563048000000000002e+03,1.104645833000000010e+02,1.426177073139678271e+02
1.564011999999999944e+03,1.108104167000000047e+02,1.444486715683071623e+02
1.564977000000000089e+03,1.110885832999999963e+02,1.461705571894452476e+02
1.565941000000000031e+03,1.114097083000000055e+02,1.478757772101020294e+02
1.566904999999999973e+03,1.118823332999999991e+02,1.496568004908970124e+02
1.567868999999999915e+03,1.125600833000000023e+02,1.515527285298614117e+02
1.568834000000000060e+03,1.134030417000000028e+02,1.535248765592201892e+02
